1.99 0.277233 0.0875946
2 0.275391 0.0865417
2.01 0.273555 0.0854945
2.02 0.271724 0.0844529
2.03 0.269899 0.083417
2.04 0.268079 0.0823867
2.05 0.266264 0.0813621
2.06 0.264456 0.0803432
2.07 0.262653 0.07933
2.08 0.260856 0.0783225
2.09 0.259065 0.0773207
2.1 0.257279 0.0763246
2.11 0.255499 0.0753343
2.12 0.253726 0.0743497
2.13 0.251958 0.0733708
2.14 0.250196 0.0723977
2.15 0.24844 0.0714304
2.16 0.24669 0.0704688
2.17 0.244946 0.0695131
2.18 0.243208 0.068563
2.19 0.241476 0.0676188
2.2 0.23975 0.0666803
2.21 0.238031 0.0657476
2.22 0.236317 0.0648207
2.23 0.23461 0.0638995
2.24 0.232909 0.0629842
2.25 0.231214 0.0620746
2.26 0.229525 0.0611707
2.27 0.227843 0.0602727
2.28 0.226167 0.0593804
2.29 0.224497 0.0584939
2.3 0.222834 0.0576131
2.31 0.221176 0.0567381
2.32 0.219526 0.0558689
2.33 0.217881 0.0550054
2.34 0.216243 0.0541476
2.35 0.214612 0.0532955
2.36 0.212987 0.0524492
2.37 0.211368 0.0516086
2.38 0.209756 0.0507738
2.39 0.20815 0.0499446
2.4 0.206551 0.0491211
2.41 0.204958 0.0483033
2.42 0.203372 0.0474911
2.43 0.201792 0.0466847
2.44 0.200219 0.0458839
2.45 0.198652 0.0450887
2.46 0.197092 0.0442991
2.47 0.195538 0.0435152
2.48 0.193991 0.0427369
2.49 0.192451 0.0419642
2.5 0.190917 0.0411971
2.51 0.18939 0.0404355
2.52 0.187869 0.0396795
2.53 0.186355 0.038929
2.54 0.184847 0.0381841
2.55 0.183346 0.0374447
2.56 0.181852 0.0367107
2.57 0.180365 0.0359823
2.58 0.178884 0.0352593
2.59 0.177409 0.0345418
2.6 0.175941 0.0338298
2.61 0.17448 0.0331231
2.62 0.173026 0.0324219
2.63 0.171578 0.031726
2.64 0.170137 0.0310356
2.65 0.168702 0.0303504
2.66 0.167274 0.0296707
2.67 0.165853 0.0289962
2.68 0.164438 0.028327
2.69 0.16303 0.0276632
2.7 0.161629 0.0270046
2.71 0.160234 0.0263512
2.72 0.158846 0.0257031
2.73 0.157465 0.0250602
2.74 0.15609 0.0244225
2.75 0.154722 0.02379
2.76 0.15336 0.0231626
2.77 0.152005 0.0225404
2.78 0.150657 0.0219233
2.79 0.149316 0.0213113
2.8 0.147981 0.0207043
2.81 0.146652 0.0201025
2.82 0.14533 0.0195056
2.83 0.144015 0.0189138
2.84 0.142706 0.018327
2.85 0.141404 0.0177452
2.86 0.140109 0.0171683
2.87 0.13882 0.0165963
2.88 0.137538 0.0160293
2.89 0.136262 0.0154672
2.9 0.134993 0.0149099
2.91 0.13373 0.0143575
2.92 0.132474 0.0138099
2.93 0.131225 0.0132672
2.94 0.129982 0.0127292
2.95 0.128745 0.012196
2.96 0.127515 0.0116675
2.97 0.126292 0.0111438
2.98 0.125075 0.0106248
2.99 0.123864 0.0101104
3 0.12266 0.00960075
3.01 0.121462 0.00909571
3.02 0.120271 0.00859528
3.03 0.119087 0.00809944
3.04 0.117908 0.00760818
3.05 0.116737 0.00712147
3.06 0.115571 0.00663929
3.07 0.114412 0.00616162
3.08 0.11326 0.00568843
3.09 0.112114 0.0052197
3.1 0.110974 0.00475542
3.11 0.10984 0.00429555
3.12 0.108713 0.00384007
3.13 0.107592 0.00338897
3.14 0.106478 0.00294223
3.15 0.10537 0.00249981
3.16 0.104268 0.00206169
3.17 0.103172 0.00162786
3.18 0.102083 0.00119829
3.19 0.101 0.000772967
3.2 0.0999229 0.000351855
3.21 0.0988524 -6.50615e-05
3.22 0.097788 -0.000477806
3.23 0.0967298 -0.000886401
3.24 0.0956778 -0.00129087
3.25 0.094632 -0.00169123
3.26 0.0935924 -0.00208751
3.27 0.0925589 -0.00247973
3.28 0.0915316 -0.00286791
3.29 0.0905103 -0.00325208
3.3 0.0894952 -0.00363225
3.31 0.0884861 -0.00400845
3.32 0.0874832 -0.0043807
3.33 0.0864863 -0.00474903
3.34 0.0854954 -0.00511345
3.35 0.0845105 -0.00547399
3.36 0.0835317 -0.00583067
3.37 0.0825589 -0.00618351
3.38 0.081592 -0.00653253
3.39 0.0806311 -0.00687777
3.4 0.0796762 -0.00721923
3.41 0.0787272 -0.00755694
3.42 0.0777841 -0.00789093
3.43 0.0768469 -0.0082212
3.44 0.0759156 -0.0085478
3.45 0.0749902 -0.00887074
3.46 0.0740706 -0.00919003
3.47 0.0731568 -0.00950571
3.48 0.0722489 -0.00981779
3.49 0.0713467 -0.0101263
3.5 0.0704504 -0.0104313
3.51 0.0695598 -0.0107327
