"x","y","z"
-2.64119946546827,4.54301313541824,0.040512766647104
-2.64782559646167,4.53956094647703,0.040675367634942
-2.65444631954258,4.53609948599626,0.040837885499301
-2.66106162222596,4.53262876300087,0.041000319926595
-2.66767149203726,4.52914878653421,0.041162670603593
-2.67427591651511,4.525659565656,0.041324937217408
-2.68087488321453,4.52216110944004,0.0414871194555
-2.68746837970999,4.51865342697194,0.041649217005666
-2.69405639359844,4.51513652734692,0.041811229556044
-2.70063891250209,4.51161041966771,0.041973156795102
-2.70721592407097,4.50807511304266,0.042134998411642
-2.71378741598478,4.50453061658421,0.042296754094796
-2.72035337595443,4.50097693940765,0.04245842353402
-2.72691379172278,4.49741409063039,0.042620006419097
-2.7334686510649,4.49384207937155,0.042781502440132
-2.74001794644853,4.49026091219908,0.042942911402445
-2.7465616563847,4.48667060333595,0.043104232766939
-2.75309977340441,4.48307115936245,0.043265466339637
-2.75963228540012,4.4794625894102,0.043426611811931
-2.76615918028808,4.47584490261736,0.043587668875531
-2.77268044600552,4.47221810813046,0.04374863722247
-2.77919607050732,4.46858221510674,0.043909516545102
-2.78570604176304,4.46493723271618,0.044070306536105
-2.79221034775382,4.46128317014376,0.044231006888478
-2.79870897646955,4.45762003659154,0.044391617295547
-2.80520191590654,4.45394784128054,0.044552137450963
-2.81168915406553,4.45026659345232,0.044712567048704
-2.81817067895039,4.44657630237021,0.044872905783076
-2.82464647856724,4.44287697732022,0.045033153348712
-2.83111654092448,4.43916862761141,0.045193309440575
-2.83758085403332,4.43545126257582,0.045353373753957
-2.84403940590884,4.43172489156802,0.04551334598448
-2.85049218457195,4.42798952396417,0.045673225828094
-2.85693917805139,4.4242451691607,0.045833012981077
-2.86338037438649,4.42049183657269,0.045992707140035
-2.86981576162999,4.41672953563198,0.046152308001896
-2.87624532785104,4.41295827578508,0.046311815263914
-2.88266906113818,4.40917806649108,0.046471228623663
-2.88908694960215,4.40538891721946,0.046630547779035
-2.89549898137848,4.40159083744815,0.046789772428236
-2.90190514462958,4.39778383666163,0.046948902269783
-2.9083054275464,4.39396792434944,0.047107937002501
-2.9146998183495,4.39014311000496,0.047266876325518
-2.9210883052894,4.38630940312461,0.047425719938259
-2.92747087664637,4.38246681320751,0.047584467540448
-2.93384752529134,4.3786153469957,0.047743118945612
-2.94021823043291,4.37475501950746,0.04790167362695
-2.94658298499875,4.37088583749866,0.048060131398626
-2.95294177737315,4.36700781048403,0.048218491961501
