0
-22.882469497029238	-27.37492789446887	-34.235160393518704
-22.88246949781701	-27.374927895283278	-34.23516039451574
-22.88246949795613	-27.37492789542708	-34.23516039469181
-22.882469498090632	-27.374927895566106	-34.235160394862
-22.882469498240507	-27.374927895721093	-34.235160395051736
-22.882469498378402	-27.374927895863625	-34.23516039522623
-22.882469498516052	-27.37492789600582	-34.235160395400314
-22.882469498660072	-27.37492789615474	-34.235160395582625
-22.882469498798887	-27.37492789629823	-34.23516039575829
-22.88246949894355	-27.374927896447776	-34.23516039594138
-22.882469499088224	-27.374927896597335	-34.23516039612447
-22.88246949924124	-27.374927896755487	-34.235160396318086
-22.88246949938591	-27.37492789690504	-34.23516039650118
-22.882469499524998	-27.374927897048856	-34.23516039667724
-22.882469499661966	-27.374927897190428	-34.23516039685057
-22.882469499793363	-27.37492789732627	-34.235160397016884
-22.882469499928142	-27.37492789746562	-34.23516039718748
-22.882469500066986	-27.374927897609098	-34.23516039736314
-22.882469500210085	-27.374927897757072	-34.23516039754428
-22.882469500346435	-27.374927897898004	-34.23516039771682
-22.882469500481836	-27.374927898037996	-34.2351603978882
-22.882469500611403	-27.37492789817191	-34.23516039805215
-22.882469500753583	-27.374927898318923	-34.23516039823213
-22.882469500892395	-27.374927898462413	-34.235160398407785
-22.882469501029643	-27.374927898604316	-34.23516039858152
-22.882469501173695	-27.37492789875323	-34.235160398763824
-22.882469501304197	-27.374927898888103	-34.235160398928954
-22.882469501461213	-27.3749278990504	-34.23516039912765
-22.88246950159572	-27.374927899189434	-34.23516039929784
-22.88246950173789	-27.374927899336434	-34.235160399477806
-22.882469501876738	-27.37492789947991	-34.23516039965347
-22.88246950201491	-27.37492789962278	-34.235160399828374
-22.882469502157758	-27.374927899770398	-34.2351604000091
-22.882469502295006	-27.37492789991231	-34.23516040018282
-22.88246950245726	-27.37492790008003	-34.23516040038817
-22.88246950259854	-27.374927900226066	-34.235160400566954
-22.88246950273086	-27.374927900362874	-34.23516040073442
-22.8824695028721	-27.374927900508922	-34.23516040091324
-22.88246950300938	-27.374927900650817	-34.23516040108695
-22.882469503159932	-27.374927900806423	-34.23516040127745
-22.88246950331134	-27.374927900962998	-34.235160401469145
-22.882469503455123	-27.374927901111583	-34.235160401651044
-22.88246950359729	-27.37492790125859	-34.235160401831024
-22.88246950373364	-27.374927901399523	-34.235160402003565
-22.882469503878347	-27.374927901549068	-34.23516040218663
-22.882469504018054	-27.374927901693525	-34.23516040236347
-22.882469504155296	-27.374927901835434	-34.23516040253721
-22.882469504312315	-27.37492790199773	-34.23516040273591
-22.882469504449592	-27.37492790213962	-34.23516040290962
-22.882469504600763	-27.374927902295862	-34.2351604031009
-22.882469504735536	-27.374927902435214	-34.23516040327149
-22.88246950487189	-27.37492790257615	-34.23516040344404
-22.882469505008892	-27.374927902717715	-34.23516040361735
-22.88246950514522	-27.37492790285867	-34.23516040378989
-22.88246950528496	-27.374927903003115	-34.23516040396674
-22.882469505422815	-27.374927903145654	-34.23516040414125
-22.88246950556933	-27.374927903297117	-34.23516040432668
-22.882469505711537	-27.37492790344412	-34.235160404506644
-22.88246950584357	-27.37492790358058	-34.23516040467372
-22.882469505986666	-27.374927903728548	-34.23516040485487
-22.882469506116248	-27.374927903862467	-34.23516040501882
-22.88246950626091	-27.374927904012015	-34.2351604052019
-22.882469506400625	-27.37492790415648	-34.23516040537874
-22.882469506544368	-27.374927904305075	-34.235160405560656
-22.88246950668842	-27.374927904453983	-34.235160405742974
-22.882469506823817	-27.37492790459398	-34.23516040591435
-22.882469506963552	-27.374927904738414	-34.2351604060912
-22.882469507094054	-27.374927904873292	-34.23516040625632
-22.88246950722945	-27.374927905013283	-34.235160406427696
-22.882469507365805	-27.374927905154223	-34.235160406600244
-22.882469507502126	-27.374927905295174	-34.235160406772785
-22.88246950764347	-27.37492790544119	-34.235160406951564
-22.882469507780705	-27.374927905583085	-34.23516040712529
-22.8824695079186	-27.37492790572562	-34.23516040729978
-22.882469508064165	-27.37492790587614	-34.23516040748405
-22.882469508203904	-27.374927906020584	-34.23516040766089
-22.882469508349224	-27.374927906170768	-34.235160407844745
-22.88246950848154	-27.374927906307576	-34.23516040801221
-22.882469508620353	-27.374927906451056	-34.23516040818789
-22.882469508760067	-27.374927906595516	-34.235160408364735
-22.882469508896413	-27.374927906736453	-34.235160408537276
-22.882469509033694	-27.374927906878344	-34.23516040871099
-22.882469509170654	-27.374927907019913	-34.23516040888431
-22.88246950930699	-27.37492790716087	-34.235160409056874
-22.882469509448537	-27.37492790730724	-34.23516040923607
-22.882469509586453	-27.37492790744975	-34.235160409410554
-22.882469509722785	-27.37492790759071	-34.23516040958311
-22.88246950986163	-27.374927907734186	-34.23516040975876
-22.88246951000041	-27.374927907877684	-34.235160409934444
-22.882469510141966	-27.374927908024056	-34.235160410113636
-22.88246951027398	-27.374927908160537	-34.235160410280706
-22.882469510416175	-27.37492790830753	-34.235160410460686
-22.88246951055315	-27.37492790844911	-34.235160410633995
-22.882469510689507	-27.37492790859005	-34.235160410806536
-22.88246951083913	-27.374927908744684	-34.235160410995874
-22.882469510968683	-27.37492790887863	-34.235160411159825
-22.882469511105953	-27.374927909020514	-34.23516041133354
-22.882469511235534	-27.374927909154437	-34.23516041149749
